Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,Team,Playing Time_MP
Jules Koundé,fr FRA,DF,25-292,3.0,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.2,3.0,22.0,13.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.08,0.03,0.08,Matches,Barcelona,
Robert Lewandowski,pl POL,FW,36-009,3.0,3,270.0,3.0,3.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,3.1,2.3,0.1,2.4,1.0,4.0,15.0,1.0,0.0,1.0,0.67,0.67,1.04,0.02,1.06,0.77,0.79,Matches,Barcelona,
Iñigo Martínez,es ESP,DF,33-105,3.0,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,3.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,Matches,Barcelona,
Raphinha,br BRA,"MF,FW",27-260,3.0,3,270.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,1.6,2.5,9.0,17.0,23.0,0.0,0.33,0.33,0.0,0.33,0.28,0.55,0.83,0.28,0.83,Matches,Barcelona,
Marc-André ter Stegen,de GER,GK,32-122,3.0,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona,
Lamine Yamal,es ESP,FW,17-048,3.0,3,263.0,2.9,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,1.4,2.1,13.0,15.0,39.0,0.34,0.68,1.03,0.34,1.03,0.25,0.47,0.72,0.25,0.72,Matches,Barcelona,
Pau Cubarsí,es ESP,DF,17-221,3.0,3,243.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,Barcelona,
Marc Bernal,es ESP,MF,17-096,3.0,3,242.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.03,0.03,0.03,Matches,Barcelona,
Ferrán Torres,es ESP,FW,24-183,3.0,3,170.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,3.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.16,0.01,0.17,0.16,0.17,Matches,Barcelona,
Pedri,es ESP,MF,21-279,3.0,2,206.0,2.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.7,1.1,9.0,20.0,9.0,0.44,0.0,0.44,0.44,0.44,0.15,0.32,0.47,0.15,0.47,Matches,Barcelona,
Alejandro Balde,es ESP,DF,20-317,3.0,2,178.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,11.0,8.0,22.0,0.0,0.0,0.0,0.0,0.0,0.01,0.22,0.23,0.01,0.23,Matches,Barcelona,
